Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,"48980 | To ensure Rani Kumari gets enrolled in school by obtaining an Aadhar card, which was the primary hindrance to her education | 0.7418"
,,,,,,49011 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,49013 | To empower girls through education and encourage them to enroll in school | 0.6549
,,,,,,5970 | To empower girls through education and help them stand on their own feet | 0.6113
,,,,,,28704 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,14966 | To educate girls till 12th class | 0.6383
,,,,,,3886 | To empower girls through education and reduce poverty in the community | 0.7208
,,,,,,6719 | To ensure girls can attend school without being teased by boys on the way | 0.7043
,,,,,,7153 | To empower girls through education and reduce poverty | 0.6612
,,,,,,6399 | To empower girls through education and improve their socio-economic status | 0.6667
,,,,,,29403 | To encourage girls to attend school and pursue their education | 0.6565
,,,,,,4234 | To empower a community by providing education and promoting the importance of education for girls. | 0.6291
,,,,,,4245 | To encourage girls to attend school and participate in educational activities | 0.614
,,,,,,3972 | To educate adolescent girls and empower them through education | 0.6385
,,,,,,7304 | To promote education among adolescent girls and empower them to attend school | 0.65
,,,,,,4945 | To empower rural children through education by addressing the issue of child labor and lack of access to quality education | 0.6116
,,,,,,4252 | To raise the issue of education and connect girls with teachers | 0.6212
,,,,,,7331 | To educate girls and empower them through education | 0.6108
,,,,,,7284 | To promote girls' education | 0.6065
,,,,,,4065 | To improve girls' education in the community | 0.7136
,,,,,,4086 | To empower girls through education and promote gender equality | 0.7386
,,,,,,"5015 | To provide equal access to education for girls and boys, addressing the issue of discrimination and social norms that prevent girls from attending school | 0.7342"
,,,,,,4280 | To empower girls through education and help them understand their rights and responsibilities | 0.6366
,,,,,,16448 | To empower girls through education and encourage them to continue their studies despite challenges. | 0.6633
,,,,,,7791 | To educate girls and make them aware of their rights and importance of education | 0.6034
,,,,,,"16452 | To enroll girls in school who were not attending due to lack of Aadhaar cards, by educating parents on the importance of education and providing support for Aadhaar card creation. | 0.8625"
,,,,,,5447 | To educate girls and raise awareness about the importance of education in the community | 0.6715
,,,,,,8316 | To encourage adolescent girls to attend school | 0.6571
,,,,,,19678 | To improve girls' education in the community | 0.7136
,,,,,,3961 | To educate girls and empower them through education | 0.6108
,,,,,,3924 | To educate girls at least till 12th standard and delay their marriage till 18 years | 0.7123
,,,,,,3982 | To provide educational opportunities to underprivileged children and improve their overall well-being | 0.613
,,,,,,10775 | To educate girls at least till 12th standard and encourage them to continue their studies while doing household chores | 0.6748
,,,,,,4020 | To empower girls through education and make them independent | 0.6081
,,,,,,3977 | To empower girls through education and reduce poverty in the village | 0.6701
,,,,,,9552 | To educate women about the importance of education and its role in the world | 0.6005
,,,,,,3987 | To ensure all girls in the village receive education up to 12th standard | 0.6484
,,,,,,29070 | To empower girls through education and create a supportive community | 0.6663
,,,,,,3934 | To educate children from poor communities and encourage them to continue their studies beyond class 5 | 0.6049
,,,,,,3936 | To educate girls and empower them through education | 0.6108
,,,,,,9557 | To empower girls through education | 0.6422
,,,,,,4094 | To empower girls through education and raise awareness about poverty | 0.6509
,,,,,,28959 | To help Shivani Kumari get her Aadhar card made so she can be enrolled in school | 0.6872
,,,,,,5315 | To educate girls in rural areas for their development and empowerment | 0.6107
,,,,,,4150 | To empower girls through education and help them become independent | 0.6117
,,,,,,4162 | To empower girls through education and create awareness about its importance | 0.6264
,,,,,,16512 | To educate children in a deprived society by involving parents and the community | 0.6807
,,,,,,6450 | To provide education to deprived teenagers and empower them through learning | 0.6835
,,,,,,14964 | To educate girls and empower them through education | 0.6108
,,,,,,28749 | To educate girls and empower them through education | 0.6108
,,,,,,6971 | To empower girls through education by discussing the importance of education and available schemes with parents and community members | 0.664
,,,,,,28758 | To empower girls through education by addressing the issue of lack of date of birth and Aadhaar card | 0.7991
,,,,,,6914 | To improve education for underprivileged children by providing them with resources and support | 0.639
,,,,,,4048 | To educate girls and make them self-dependent by continuing their studies | 0.6036
,,,,,,7148 | To empower women and girls in the community through education and awareness | 0.7024
,,,,,,7735 | To educate women about the importance of education and its impact on their lives | 0.6082
,,,,,,8034 | To educate girls at least till Intermediate level to improve their socio-economic status | 0.6578
,,,,,,29226 | To provide girls with access to education and empower them to pursue their goals | 0.6711
,,,,,,16446 | To empower girls to overcome their hesitation and take an interest in their studies | 0.6036
,,,,,,7871 | To encourage adolescent girls to pursue higher education and create a brighter future for themselves | 0.6124
,,,,,,16456 | To improve girls education by ensuring their safety on the way to school | 0.6125
,,,,,,29180 | To empower girls through education and make them independent | 0.6081
,,,,,,14999 | To educate girls in the village and empower them through education | 0.6066
,,,,,,8495 | To empower girls through education and improve their social status | 0.6728
,,,,,,16589 | To help Riya Kumari get an Aadhar card and enroll in school | 0.6431
,,,,,,"16595 | To improve education by ensuring all girls have an Aadhar card, which is necessary for school admission | 0.836"
,,,,,,9371 | To educate girls at least till 12th class and provide full support to overcome any shortcomings | 0.6749
,,,,,,28776 | To help Pinky Kumari continue her education despite household chores and financial hardship | 0.6044
,,,,,,29227 | To empower girls through education and help them achieve their goals | 0.6364
,,,,,,8944 | To educate girls and create awareness about the importance of education in the community | 0.6734
,,,,,,15155 | To empower girls to pursue education and overcome obstacles | 0.7088
,,,,,,15034 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,10171 | To improve access to education for underprivileged children | 0.6381
,,,,,,"29216 | To promote education for girls and women in the community, highlighting its importance for personal and societal development. | 0.621"
,,,,,,15036 | To ensure girls' education is not disrupted due to lack of Aadhaar card | 0.9191
,,,,,,15052 | To educate girls and make them understand the importance of education | 0.6084
,,,,,,28786 | To help a teenage girl get admission in Class 9 by correcting her Aadhaar card | 0.7828
,,,,,,15236 | To empower girls through education and improve their socio-economic status | 0.6667
,,,,,,28987 | To educate girls and empower them through education | 0.6108
,,,,,,15146 | To empower girls through education and reduce the number of school-deprived teenagers | 0.6469
,,,,,,15148 | To educate girls and empower them through education | 0.6108
,,,,,,15145 | To educate adolescent girls and empower them through education | 0.6385
,,,,,,15143 | To educate girls and empower them through education | 0.6108
,,,,,,11476 | To improve girls' education in the village by paying more attention to them | 0.6348
,,,,,,15186 | To empower girls through education and raise awareness about its importance in the community | 0.694
,,,,,,15208 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,15216 | To empower girls through education | 0.6422
,,,,,,15217 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,"15229 | To empower girls in the community by providing them with access to education and training, and to help them become leaders and role models for others | 0.6098"
,,,,,,15239 | To empower girls through education and encourage them to pursue their studies beyond matriculation | 0.6205
,,,,,,4173 | To ensure girls are educated till 12th standard and not married at a young age | 0.7327
,,,,,,15244 | To educate girls and empower them through education | 0.6108
,,,,,,28805 | To improve girls' education in rural Bihar by raising awareness and motivating parents to send their daughters to school | 0.608
,,,,,,15246 | To empower girls through education and make them independent | 0.6081
,,,,,,15026 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,15038 | To empower adolescent girls in the community by providing them with access to higher education and making them aware of the importance of education. | 0.6022
,,,,,,"15051 | To enroll a girl in school by obtaining an Aadhar card, as lack of Aadhar card was a barrier to her education | 0.8804"
,,,,,,15488 | To empower teenage girls through education and make them aware of its importance | 0.6002
,,,,,,15058 | To help Komal Kumari continue her education by obtaining an Aadhar card | 0.6688
,,,,,,3995 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,"4078 | To empower girls in the community through education and awareness, addressing the challenge of poverty and lack of access to opportunities | 0.7162"
,,,,,,15242 | To ensure equal rights to education for boys and girls | 0.627
,,,,,,15250 | To increase girls participation in education by addressing the root cause of poverty and engaging the community | 0.6784
,,,,,,25421 | To empower girls by educating them and making their parents aware of the importance of education | 0.6193
,,,,,,4050 | To empower girls through education and make them self-reliant | 0.6153
,,,,,,4072 | To change the social thinking and promote education for girls in the community | 0.6499
,,,,,,6021 | To promote girls education and empower them to participate enthusiastically in studies | 0.6118
,,,,,,6907 | To educate children till the age of 12th | 0.6044
,,,,,,15366 | To empower girls through education and improve their overall well-being | 0.6001
,,,,,,16568 | To empower girls through education by making parents aware of its importance | 0.6
,,,,,,"5039 | The objective of the project was to increase girls enrollment and attendance in school, and to change parental attitudes towards girls education. | 0.6003"
,,,,,,15846 | To advance the lives of girls through education | 0.6273
,,,,,,15116 | To help Samta Kumari obtain an Aadhar card and enroll in school despite her family's financial struggles | 0.7135
,,,,,,21045 | To provide education to underprivileged children and empower them to create a better future for themselves | 0.6204
,,,,,,16029 | To empower girls to pursue higher education despite financial constraints | 0.6473
,,,,,,3994 | To empower girls through education and improve their socio-economic status | 0.6667
,,,,,,16405 | To empower girls through education and increase awareness about the importance of education for girls | 0.6632
,,,,,,16328 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,21541 | To provide equal education to girls and boys | 0.6019
,,,,,,4204 | To promote girls education and empower them to become strong women | 0.6154
,,,,,,15501 | To encourage girls to continue their education beyond 8th class and promote gender equality in the community | 0.72
,,,,,,4100 | To improve education for adolescent girls in Jai Prakash Nagar by addressing financial constraints and distance from school | 0.6261
,,,,,,3856 | To empower women in the village through awareness programs and education | 0.6159
,,,,,,16142 | To promote education for daughters and empower them to achieve their goals | 0.6149
,,,,,,5072 | To empower girls by providing them with the opportunity to attend school and receive an education | 0.6504
,,,,,,"4298 | To educate and empower girls through Kishori Manch meetings and discussions, addressing patriarchal issues and promoting gender equality | 0.6063"
,,,,,,5013 | To empower girls through education and reduce the gender gap | 0.7159
,,,,,,"4288 | To help women obtain birth certificates and Aadhaar cards, enabling them to enroll their children in school | 0.7639"
,,,,,,"5255 | To provide equal educational opportunities to underprivileged children, especially girls, and empower them through education | 0.6149"
,,,,,,4983 | To empower girls through education and change the mindset of parents | 0.6151
,,,,,,"4260 | To educate girls and convince their parents to send them to school, highlighting the importance of education in solving problems and living a better life | 0.6176"
,,,,,,5657 | To send boys and girls to school every day and marry them only after they pass 12th standard | 0.612
,,,,,,9754 | To encourage girls to continue their studies despite obstacles | 0.6943
,,,,,,16603 | To improve girls' education in the community by making them understand the importance of education and making their parents aware of it | 0.6332
,,,,,,15061 | To empower girls through education | 0.6422
,,,,,,10420 | To address the issue of drop-out children by creating awareness about education and its importance | 0.6222
,,,,,,3971 | To empower girls through education by raising awareness about the importance of education and providing support for enrollment | 0.6209
,,,,,,3963 | To ensure girls can attend school safely and confidently | 0.6405
,,,,,,15260 | To encourage girls to pursue further studies despite the distance to school | 0.6276
,,,,,,15504 | To promote girls' education and equality | 0.6682
,,,,,,29320 | To promote girl education and empower women in the community | 0.7228
,,,,,,15361 | To help Gudiya Kumari get her Aadhar card made and enroll in school | 0.6924
,,,,,,4164 | To empower girls through education and overcome societal barriers | 0.6701
,,,,,,15264 | To help a girl get her Aadhaar card made so she can be enrolled in school | 0.8392
,,,,,,15279 | To help Mala Kumari get admission in school by correcting her Aadhar card | 0.6756
,,,,,,4194 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,4103 | To empower girls through education and address the problem of lack of education in the community | 0.7275
,,,,,,15313 | To help Radha Kumari get admitted to school by correcting her date of birth on her Aadhaar card and birth certificate | 0.6402
,,,,,,28839 | To help Manisha rejoin school after her studies were interrupted due to an incorrect Aadhaar card | 0.7073
,,,,,,"15337 | To enroll a girl in school by obtaining an Aadhar card, which was a requirement for admission | 0.854"
,,,,,,4139 | To empower girls through education and increase their participation in schools | 0.6491
,,,,,,15370 | To get Aarti Kumari admitted to the ninth class by correcting her name in the Aadhar card | 0.6261
,,,,,,4054 | To empower girls through education and increase their enrollment in schools | 0.6346
,,,,,,"28845 | To create awareness about the importance of education among community members, especially for girls | 0.6522"
,,,,,,3930 | To empower girls through education and ensure they complete their studies | 0.645
,,,,,,5391 | To help girls obtain Aadhaar cards and encourage their education | 0.8112
,,,,,,3887 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,4095 | To empower girls through education and increase awareness about its importance | 0.6235
,,,,,,3884 | To educate girls and increase awareness about the importance of education | 0.6075
,,,,,,6679 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,19202 | To educate girls and empower them through education | 0.6108
,,,,,,29103 | To increase awareness about the importance of education among girls in the community and encourage them to attend school | 0.6237
,,,,,,15435 | To encourage girls to pursue education and continue their studies | 0.6487
,,,,,,15438 | To encourage girls to pursue higher education and promote equality in educational opportunities | 0.6633
,,,,,,15442 | To educate girls and make them aware of the importance of education in their lives | 0.6371
,,,,,,4102 | To empower girls in the community by encouraging them to pursue higher education and overcome financial and household constraints | 0.6578
,,,,,,15480 | To empower adolescent girls in the community to pursue higher education and make informed decisions about their lives | 0.6081
,,,,,,15286 | To help Radha Kumari get admission in Class 6 by correcting her Aadhaar card | 0.6491
,,,,,,15492 | To promote education for daughters in the community and empower them through knowledge | 0.6415
,,,,,,"5342 | To support and encourage girls to pursue their education, despite financial constraints and societal pressures | 0.7239"
,,,,,,15505 | To empower girls through education by providing them with the necessary resources and support | 0.6554
,,,,,,"13847 | To address the issue of girls dropping out of school due to gender discrimination, distance, and safety concerns, and to promote girls' education | 0.6897"
,,,,,,15606 | To empower girls through education and help them stand on their own feet | 0.6113
,,,,,,15682 | To educate girls about the importance of education and motivate them to pursue higher education | 0.6073
,,,,,,15700 | To empower women through education and improve their role in the community | 0.6908
,,,,,,15722 | To provide education to underprivileged children | 0.6512
,,,,,,7823 | To delay the marriage of children until they are 18 years old | 0.6218
,,,,,,16450 | To educate adolescent girls and make them aware of the importance of education | 0.6012
,,,,,,15828 | To empower girls through education and help them achieve their full potential | 0.6287
,,,,,,16457 | To educate parents about the importance of girls education and encourage them to support their daughters in completing their studies | 0.6375
,,,,,,29025 | To empower girls through education and help them achieve their goals | 0.6364
,,,,,,29026 | To help girls get government benefits in school by obtaining Aadhar cards | 0.7622
,,,,,,29110 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,15977 | To empower girls through education and prevent sexual harassment in schools and colleges | 0.6005
,,,,,,16041 | To educate girls at least till 12th standard | 0.7127
,,,,,,4134 | To empower girls through education and improve their overall well-being | 0.6001
,,,,,,16206 | To empower women through education and increase awareness about the importance of education | 0.6014
,,,,,,18916 | To promote girls' education | 0.6065
,,,,,,16257 | To encourage girls to continue their education and empower them through knowledge | 0.6619
,,,,,,16318 | To educate girls till 12th standard and make them aware of the benefits of education | 0.7082
,,,,,,16402 | To promote girls' education | 0.6065
,,,,,,15144 | To educate girls in the community about the importance of education and encourage them to pursue their studies beyond 10th class | 0.6143
,,,,,,3912 | To empower girls through education and make them aware of its importance | 0.6224
,,,,,,16884 | To empower girls through education and help them become independent | 0.6117
,,,,,,4197 | To eliminate discrimination between boys and girls in schools | 0.7082
,,,,,,28891 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,28892 | To help a girl enroll in school by getting her Aadhaar card updated | 0.8545
,,,,,,11611 | To empower women leaders in the community through education and motivation | 0.6224
,,,,,,15245 | To empower girls through education and make them aware of their rights | 0.6141
,,,,,,15221 | To empower girls in the village to complete their education and improve their socio-economic status | 0.6359
,,,,,,12619 | To empower girls through education and create a better future for them | 0.6216
,,,,,,4160 | To empower girls through education | 0.6422
,,,,,,4104 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,15317 | To promote girls education and empower them through knowledge | 0.6195
