Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440009,Substance Abuse and Addiction,"This theme captures responses where children's education is affected by alcohol or drug use within the family or community, as well as issues like gambling or addiction to online games. These problems create unstable home environments, distract children from studies, and contribute to irregular attendance or dropout.","Addiction,Addicted,Alcohol,Drugs,Alcoholism,online games,mobile phones,Gambling,sharab,daru,nasha,ganja,drunk father,mobile addiction,drinking problem,alcohol addiction,use mobile,online gaming,using mobile,children mobile phones,father drinks,husband alcohol,drunk parent,neglect due to alcohol,drug use in community,gutka,tobacco addiction,mobile gaming addiction,smartphone overuse,screen time excessive,children watch videos all day,internet addiction,children distracted by phone,online gaming harm,alcoholic parent neglect,drunkard father,marijuana",Approved,0,
550e8400-e29b-41d4-a716-446655440008,Safety Concerns,"This theme includes responses where children's school attendance is affected by worries related to their overall safety and security. It covers issues such as unsafe routes, harassment, or any situation that makes families feel that the environment around schooling is not secure enough for children to travel or attend regularly.","Harassment,molestation,eve-teasing,tease,violence,environment around house,house surroundings,no boundary wall,unsafe path,caste harassment,bullying,unsafe for girls,no street light,deserted road,domestic violence,public places,child safety,safety public,gender-based violence,violence against women,accident on road,stray animals danger,dark road at night,no street lighting,unsafe playground,physical abuse at school,corporal punishment,girls followed,bad elements near school,crime near school,children not safe traveling,sexual harassment fear,teasing on route,no police protection,unsafe area for girls,eve teasing,molested,flirting,miscreants,drunk public,school vandalism,unsafe routes",Approved,0,
550e8400-e29b-41d4-a716-446655440001,Poverty and Economic Barriers,"This theme captures insights where families link irregular school attendance or dropouts to financial hardship. It includes responses describing how poverty forces children to prioritize work over education, how households depend on children's income for survival, and how limited resources—such as inability to afford uniforms, books, or transport—become barriers to schooling.","Poor,no money,lack of money,financial constraints,child labour,economic constraint,unemployment,financial difficulties,no fees,school fees,can't afford,daily wage,labourer,cannot buy books,no money for uniform,financial problems,poor economic condition,economic condition,education hampered,family affect,child labour,no money for fees,cannot afford school,daily wage family,BPL family,landless family,no stable income,food insecurity,school dress not affordable,no money for travel,scholarship not received,deprived community,tribal poverty,wage labor family,farm labor family,migrant labor family,sending children to work,child labor poverty,cannot afford books,financial condition,household chores,brick kiln,graze goats,earn living,enough money,failed matriculation,uniform dress,scholarship hostel,migrant workers,seasonal work,goat herding,kiln work",Approved,0,
550e8400-e29b-41d4-a716-446655440006,School Infrastructure and Facility Issues,"This theme captures responses highlighting gaps in school facilities and infrastructure gaps. It includes issues such as inadequate classrooms, lack of basic amenities, insufficient learning resources, as well as delays, inconsistencies, or limited access to government schemes. Together, these systemic gaps reduce the attractiveness and effectiveness of schooling for children and families.","No clean water,toilets,mid day meal,scholarships,playgrounds,classrooms,pads,hygiene,books,uniforms,government schemes,sanitation,infrastructure,clean,cleanliness,no library,shortage of books,basic facilities,no electricity,no fan,PM Poshan,MDM,scholarship not received,hot meals,drinking water,reading corner,environment around school,conducive learning,well being,no toilet for girls,broken toilet,no drinking water in school,no separate toilet,no library,school building broken,no electricity in school,no blackboard,books not given on time,uniform not distributed,mid-day meal stopped,bad quality food,MDM irregularly provided,no playground,no boundary wall school,school not child friendly,compound system,play materials,water tank,coaching centre,special needs,anganwadi center,kasturba vidyalaya,upper primary school,disabled child,seating arrangement,menstruation facilities,reading interest,extracurricular",Approved,0,
550e8400-e29b-41d4-a716-446655440003,Early Marriage,"This theme captures responses where child marriage or early marriage prevents girls from continuing their education. It includes situations where early marriage leads to school dropout, limits learning opportunities, or shifts responsibilities toward household duties instead of schooling.","Child marriage,marriage,early marriage,shadi,vivah,baal vivah,underage marriage,married off,got married young,left school after marriage,nikah,banning child marriage,marriage girls,run away,ban child marriage,married after,girls should,preventing child marriage,marriage before 18,underage marriage,minor married,married in childhood,marriage at 14,marriage at 15,married before school complete,dropout after marriage,forced to marry,marriage arranged young,married off early,engagement of minor,nikah at young age,early nikah,married off daughters early,girls withdrawn for marriage,marry after 18,married class 8, adolescent marriage,forced marriage",Approved,0,
,Promoting Educational Access and Continuation,"This theme encompasses initiatives aimed at ensuring individuals, particularly girls and those facing socioeconomic barriers, can access and sustain their educational journeys. It includes efforts to overcome financial constraints, parental objections, and motivational challenges to facilitate enrollment, regular attendance, and completion of educational milestones.","educational access,educational continuation,financial aid,overcoming barriers,girl's education,student support",Draft,368,28513 | To encourage Ritika to pursue further studies | 0.5673
,,,,,,28632 | To help Anita Kumari pursue further studies despite her poor financial condition | 0.6982
,,,,,,28633 | To empower Madhu Kumari to pursue her education despite financial constraints by explaining the benefits of scholarships and community support | 0.8116
,,,,,,40510 | To educate Rinki Kumari till 12th standard | 0.7389
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.6387
,,,,,,4239 | To educate Renu Devi | 0.6429
,,,,,,28597 | To ensure Gudiya Kumari receives an education by convincing her parents of its importance | 0.835
,,,,,,28522 | To educate Chanda Kumari further | 0.8267
,,,,,,28524 | To encourage Sandhya to attend school regularly by explaining the importance of education | 0.6673
,,,,,,15374 | To bring Sita Kumari back to school by convincing her family and arranging a bicycle for her | 0.7388
,,,,,,28658 | To help Sweety Kumari take her exam and continue her education | 0.8443
,,,,,,28639 | To encourage Kusum to continue her studies despite financial difficulties | 0.6211
,,,,,,28542 | To encourage Riya Kumari | 0.7323
,,,,,,28547 | To support Kamini Kumari in resuming her studies | 0.7676
,,,,,,15118 | To educate Rupa further | 0.5884
,,,,,,15491 | To help Khushi Kumari attend school regularly | 0.8453
,,,,,,28555 | To enroll Meenakshi in school after she dropped out | 0.6194
,,,,,,28644 | To encourage Rekha Kumari to continue her education after failing in matriculation | 0.7845
,,,,,,15179 | To encourage Rupa Kumari to continue her education and create awareness about education in her community | 0.8534
,,,,,,29237 | To educate Kavita and support her in her studies | 0.6815
,,,,,,15168 | To convince Pooja Kumari and her parents to continue her education | 0.8478
,,,,,,40563 | To educate Neha Kumari and empower her to shape her future | 0.8111
,,,,,,41568 | To educate Deepa Kumari | 0.7731
,,,,,,41561 | To help Savita Kumari continue her education | 0.8712
,,,,,,40573 | To educate Anshu Kumari and raise awareness about the importance of education in the community | 0.738
,,,,,,40574 | To help Anushka get enrolled in Kasturba and ensure her education | 0.6613
,,,,,,40575 | To educate Rizwana Khatoon after her parents | 0.623
,,,,,,40578 | To enroll Pratima Kumari in Kasturba Vidyalaya after her name was removed from school due to living outside | 0.7148
,,,,,,28561 | To encourage Rinku Kumari to continue her education | 0.8577
,,,,,,40581 | To enroll Kirti Kumari in school | 0.7946
,,,,,,41589 | To get Priya Kumari admitted to class 12 | 0.7056
,,,,,,40583 | To re-enroll Sameeksha Kumari in school and encourage her to continue her education | 0.8589
,,,,,,40584 | To help Renu Kumari get enrolled in school again and continue her education | 0.8933
,,,,,,40589 | To help Shivani Kumari continue her studies | 0.8027
,,,,,,41598 | To help Amrita Kumari pursue further education despite her father's alcoholic nature | 0.6984
,,,,,,40601 | To help Arvind Kumar get enrolled in school by making his mother aware that admission in government school is free | 0.7491
,,,,,,40602 | To educate Preeti Kumari and make her self-dependent | 0.8299
,,,,,,40603 | To enroll Nandini Kumari in Kasturba Vidyalaya | 0.6535
,,,,,,41627 | To get Devanti Devi's daughter-in-law admitted in Intermediate | 0.5555
,,,,,,40614 | To bring Suraj Kumar back to school and provide him with a proper education | 0.7491
,,,,,,40616 | To create awareness about education and enroll Diksha Kumari in school | 0.7594
,,,,,,40623 | To enroll Jhumki in school | 0.5218
,,,,,,15753 | To help a poor girl get education by admitting her to Kasturba school | 0.7208
,,,,,,28566 | To convince Chandrawati Kumari to continue her studies after her mother | 0.7577
,,,,,,41666 | To encourage Shabnam Parveen to continue her education | 0.5475
,,,,,,41668 | To educate Razia Begum and help her parents understand the importance of education | 0.5777
,,,,,,41669 | To help Priyanshu Kumari understand the importance of education and get her enrolled in Kasturba Vidyalaya | 0.8414
,,,,,,41673 | To improve education in Manjhi Tola by enrolling Nisha Kumari in Kasturba Vidyalaya and raising awareness about the importance of education | 0.7296
,,,,,,40656 | To educate Muskan Kumari and other girls in the community | 0.7362
,,,,,,4015 | Helping Kishori attend school regularly | 0.579
,,,,,,14991 | To help Kajal continue her education | 0.7558
,,,,,,40695 | To empower Anjali through education and make her self-reliant | 0.6463
,,,,,,"40710 | To ensure that Nidhi Kumari receives her transfer certificate without paying any bribe, by educating her parents about the free transfer certificate policy and providing them with support and resources to navigate the situation. | 0.6516"
,,,,,,40711 | To enroll Radha Kumari in school and encourage other parents to do the same | 0.7809
,,,,,,40713 | To get Kamini Kumari enrolled in school and create an educational environment in her community | 0.824
,,,,,,28432 | To educate Chhoti Kumari further by informing her parents about government schemes and scholarships | 0.8294
,,,,,,40817 | To enroll Radha Kumari in Kasturba Vidyalaya | 0.6675
,,,,,,40819 | To enroll Chhoti Kumari in Kasturba Vidyalaya and encourage her to pursue her education | 0.7902
,,,,,,40822 | To help Reena Kumari and other children in the community attend school regularly and complete their education | 0.8018
,,,,,,40829 | To enroll Khushi Kumari in school | 0.8235
,,,,,,40831 | To educate Anjani Kumari and other girls in the village | 0.7648
,,,,,,40837 | To encourage Geetanjali to continue her studies | 0.6045
,,,,,,40839 | To encourage Shivani Kumari to continue her education and inspire other girls in the community to do the same | 0.8307
,,,,,,40856 | To educate Nisha Kumari who had dropped out of school due to economic situation | 0.8067
,,,,,,40859 | To enroll Amit Kumar in school and encourage him to study | 0.7306
,,,,,,40860 | To enroll Suman Kumari in school by creating awareness and obtaining necessary documents | 0.7923
,,,,,,40873 | To enroll Anjali Kumari in school | 0.7736
,,,,,,40875 | To enroll Chintu Kumar in school | 0.7231
,,,,,,40879 | To help Priyanka understand the importance of education and pursue her studies | 0.6787
,,,,,,40881 | To help Priyanka Kumari continue her education | 0.8756
,,,,,,40886 | To help Sangeeta Kumari return to her studies after a 3-year gap due to ill health | 0.6726
,,,,,,40902 | To enroll Diltorni Kumari in school | 0.7864
,,,,,,40903 | To help Lali Kumari continue her education after her mother's death. | 0.8035
,,,,,,40907 | To educate Komal Kumari about the importance of education | 0.7978
,,,,,,28620 | To convince Khushboo Kumari to continue her education | 0.8593
,,,,,,40919 | To help Radha Kumari pass her supplementary exam | 0.7081
,,,,,,40920 | To educate Ramavati Kumari | 0.7932
,,,,,,40923 | To get Kajal Kumari enrolled in school and continue her education | 0.853
,,,,,,40926 | To encourage Kajal Kumari to continue her education | 0.8768
,,,,,,40931 | To motivate Riya Kumari to study further and help her pass her matriculation examination | 0.8161
,,,,,,40933 | To empower Kajal Kumari to continue her education despite poverty and failure in matriculation | 0.8175
,,,,,,40935 | To convince Khushboo Kumari and her mother to get her admitted and complete her further studies | 0.8167
,,,,,,40966 | To enroll Farida Khatoon in school despite initial resistance from the school administration | 0.4963
,,,,,,41009 | To educate Durga Kumari and her parents about the importance of education | 0.8179
,,,,,,28573 | To educate Mamta Kumari despite her father | 0.7937
,,,,,,41019 | To make Rohit Raj understand the importance of education and continue his studies | 0.6927
,,,,,,41023 | To motivate Ritesh to continue his studies and understand the importance of education | 0.6139
,,,,,,16284 | To educate Anita Kumari and improve her life | 0.8016
,,,,,,41041 | To ensure Sambhavika Kumari attends school despite her family's poor financial condition | 0.7698
,,,,,,41045 | To educate Munna | 0.5067
,,,,,,15087 | To help Nikki Kumari understand the importance of education and attend school regularly | 0.8257
,,,,,,41058 | To encourage and support Soni Kumari in pursuing her education despite financial constraints and lack of motivation | 0.83
,,,,,,41059 | To help Chandni Kumari continue her education despite financial constraints | 0.8101
,,,,,,41077 | To enroll Vishal Kumar in school despite the lack of a transfer certificate | 0.6325
,,,,,,41085 | To solve the problem of admission in class 9 due to TC | 0.4268
,,,,,,41088 | Anjani wanted to go to school but the school was far away | 0.5164
,,,,,,41111 | To enroll Riya Kumari in school by obtaining her birth certificate | 0.7754
,,,,,,41112 | To re-enroll dropout girls in Kasturba Vidyalaya and provide them with education | 0.6224
,,,,,,41121 | To get Aryan Kumar admitted to school | 0.7088
,,,,,,41122 | To get Aryan Kumar admitted to school | 0.7088
,,,,,,41123 | To enroll Akriti Kumari in school and ensure she receives an education despite her family's financial struggles | 0.8657
,,,,,,41159 | To ensure Sapna Kumari attends school by explaining the importance of education to her parents | 0.8497
,,,,,,28577 | To encourage Pooja Kumari to continue her studies after she had dropped out due to poor financial condition and academic performance | 0.785
,,,,,,41188 | To help Priyanka continue her studies by finding a solution to the problem of the school being far away | 0.6151
,,,,,,28578 | To continue Renu's education | 0.6252
,,,,,,41207 | To encourage Samanti to continue her education | 0.7615
,,,,,,41208 | To motivate Phool Kumari Devi and her daughter-in-law Karishma Kumari to understand the importance of education | 0.7926
,,,,,,41209 | To help Asha Kumari get back to school after she dropped out due to financial constraints | 0.796
,,,,,,41210 | To improve Sunita's education | 0.6248
,,,,,,28579 | To educate Renu till Intermediate | 0.6229
,,,,,,41217 | To help Sunita get admitted to school by obtaining her birth certificate | 0.5926
,,,,,,41223 | To educate Anjali Kumari about the importance of education | 0.8081
,,,,,,28580 | To bring Chanchal back to school and continue her studies | 0.6546
,,,,,,41244 | To help Mansi Kumari get enrolled in a school despite not having the required proof of residence | 0.7083
,,,,,,41260 | To get Preeti Kumari to pursue further studies | 0.7454
,,,,,,41270 | To educate Kajal | 0.6044
,,,,,,41273 | To enroll Kanchan in class 6th and encourage her to continue her studies | 0.6757
,,,,,,41274 | To enroll Anjali Kumari in school | 0.7736
,,,,,,41276 | To get Raveena back to school | 0.4639
,,,,,,40521 | To help Anjali and her sisters get an education despite their poor financial condition and lack of support after their parents' death. | 0.6634
,,,,,,40522 | To educate Savita Kumari about the importance of education and encourage her to pursue her studies | 0.8706
,,,,,,40524 | To empower Preeti Kumari and her family by providing access to education and overcoming the barrier of lack of certificates | 0.8279
,,,,,,40528 | Rima had left studies after studying till class six | 0.504
,,,,,,41286 | To educate Ranju Kumari and help her stand on her own feet | 0.7282
,,,,,,40530 | To continue Nisha Kumari's education | 0.8037
,,,,,,41293 | To educate Kunti Kumari till 12th class | 0.7806
,,,,,,40538 | To help Sakina resume her studies and complete her education | 0.6982
,,,,,,41297 | To convince Anjali Kumari's parents of the importance of education and encourage her to continue her studies. | 0.8599
,,,,,,40542 | To get Sunita Kumari admitted in Kasturba Vidyalaya | 0.7049
,,,,,,41302 | To ensure Pooja Kumari resumes her studies and completes her education | 0.8026
,,,,,,40546 | To support Pooja Kumari in pursuing her further studies | 0.7674
,,,,,,40550 | To help Preeti Kumari get education and empower her community | 0.8416
,,,,,,40553 | To help Sonali Kumari continue her education by enrolling her in Kasturba Vidyalaya | 0.8188
,,,,,,41315 | To enroll Nitya Kumari in class one | 0.7666
,,,,,,40557 | To educate Kajal Kumari and her family about the importance of education | 0.8469
,,,,,,40558 | To help Pushpa Kumari resume her studies after failing in matriculation | 0.7357
,,,,,,41320 | To enroll Avshita Kumari in school by making her parents aware of the importance of education | 0.8378
,,,,,,41342 | To solve the problem of Kavita | 0.3363
,,,,,,41374 | To ensure Kajal Kumari completes her education despite her parents' poor financial condition | 0.7763
,,,,,,41381 | To re-enroll Chandrakala in school and promote education in her community | 0.7402
,,,,,,41383 | To enroll Madhuri in school and promote education in the Majhi community | 0.689
,,,,,,"41384 | To enroll Anushka Kumari, a 7-year-old girl from a Maji community, in school and promote education in her community | 0.774"
,,,,,,41389 | To enroll Munni Kumari in school and promote education in the Musahar community | 0.7136
,,,,,,41412 | To enroll Sunaina Kumari back in school and improve her future prospects | 0.8212
,,,,,,41415 | To educate Manchana Kumari and ensure she has a better future | 0.8117
,,,,,,41417 | To help Sunil Kumar | 0.6413
,,,,,,41418 | To help Rajanandini get enrolled in school despite the lack of a school transfer certificate | 0.5234
,,,,,,41434 | To motivate Poonam Kumari to pursue education and pass the matriculation examination | 0.7309
,,,,,,41438 | To improve Priyankas education by enrolling her in school | 0.7065
,,,,,,41439 | Gudiya had failed in matriculation | 0.3734
,,,,,,41445 | To educate Meena Devi | 0.5798
,,,,,,41446 | To enroll Madhuri Kumari in school | 0.7882
,,,,,,41455 | To support Sudhaa Kumaris education and empower her through community involvement. | 0.82
,,,,,,41481 | To inspire Mala Kumari to resume her studies and understand the importance of education | 0.8602
,,,,,,41494 | To educate Sanwali Kumari and other children in the community despite poverty | 0.7467
,,,,,,41515 | To enroll Sukriti Kumari in school | 0.7752
,,,,,,28628 | To educate Madhu Kumari and other children in the village about the importance of education | 0.7835
,,,,,,48924 | To enroll Sonakshi Kumari in school and create a conducive environment for studies in her community | 0.8002
,,,,,,48921 | To enroll Roshni in school | 0.541
,,,,,,48957 | To enroll Neetu Kumari in school and ensure she attends daily | 0.8238
,,,,,,49008 | To empower Soni Kumari to pursue her education despite financial constraints | 0.8118
,,,,,,28590 | To encourage Priya Kumari to return to school and emphasize the importance of education | 0.8464
,,,,,,28631 | To educate Anu Kumari and other children in the village about the importance of education | 0.7792
,,,,,,14942 | To help Neha Kumari | 0.6963
,,,,,,16480 | To educate Asha Kumari and improve the financial condition of her family | 0.8235
,,,,,,15419 | To make Rohi Kumari aware about the importance of studies and encourage her to continue her education | 0.8702
,,,,,,28711 | To motivate Anjali Kumari to attend school regularly and improve her studies | 0.8419
,,,,,,3924 | To educate girls at least till 12th standard and delay their marriage till 18 years | 0.6286
,,,,,,4114 | To empower Soni Kumari to join Bihar Police by convincing her parents and providing support | 0.6619
,,,,,,10775 | To educate girls at least till 12th standard and encourage them to continue their studies while doing household chores | 0.6476
,,,,,,3927 | To bring back Ragini to school | 0.4596
,,,,,,4056 | To educate Archana Kumari and postpone her marriage | 0.7654
,,,,,,16514 | To educate Khushboo and make her self-reliant | 0.5702
,,,,,,28963 | To re-enroll Pikal Kumari in school after she dropped out due to illness | 0.6837
,,,,,,4025 | To help Soni Kumari attend school despite financial difficulties | 0.7544
,,,,,,28775 | To help Ananya continue her studies | 0.6635
,,,,,,28776 | To help Pinky Kumari continue her education despite household chores and financial hardship | 0.8316
,,,,,,15020 | To encourage Rabita Kumari to continue her education and inspire other teenagers in the village to do the same | 0.8017
,,,,,,15043 | To encourage Sujit Kumari to continue her education | 0.8595
,,,,,,15421 | To encourage Amala Kumari to attend school and receive an education | 0.8849
,,,,,,15065 | To encourage Anu Kumari to pursue her education and become independent | 0.8511
,,,,,,15084 | To help Rukhsana Khatoon get admission in class 6 | 0.6354
,,,,,,16772 | To help Radhika Kumari complete her education despite financial difficulties | 0.8016
,,,,,,15094 | To encourage Nikki Kumari to attend school and help her parents understand the importance of education | 0.84
,,,,,,15093 | To encourage Anjali Kumari to continue her education | 0.858
,,,,,,15156 | To support Baby Kumari in continuing her education despite financial constraints | 0.7796
,,,,,,15121 | To educate Asha by motivating her mother to send her to school | 0.6752
,,,,,,4206 | To raise awareness about the issue of feticide in Lalgarh and to prevent it from happening | 0.2719
,,,,,,15124 | To educate Hemant Kumari and other children in the village | 0.7334
,,,,,,15139 | To help Maneka and Aanchal Kumari resume their education after a two-year gap due to poverty and lack of access to schools | 0.71
,,,,,,15173 | To help Anjali Kumari's parents understand the importance of education | 0.7884
,,,,,,15163 | To help Anshu Kumari continue her education | 0.854
,,,,,,15172 | To educate Anjali Kumari | 0.7923
,,,,,,15174 | To convince Usha Kumari to continue her studies | 0.8171
,,,,,,15169 | To convince Alka Kumari to return to school by opening a bank account for her | 0.7537
,,,,,,15176 | To convince Anjali's parents to let her continue her education beyond 8th standard | 0.6505
,,,,,,15194 | To provide education to Kranti Kumari and ensure she attends school every day | 0.8856
,,,,,,15225 | To educate Seba Khatun and her sisters | 0.644
,,,,,,28802 | To help Pinky Kumari go to school | 0.7844
,,,,,,15234 | To revive Kavita Kumari | 0.5886
,,,,,,15240 | To ensure Kishan attends school regularly and studies well | 0.6358
,,,,,,15233 | To convince Rita Kumari's parents to support her education and encourage her to go back to school | 0.7904
,,,,,,15252 | To continue Anjali Kumari's education | 0.7935
,,,,,,15256 | To help Karishma go to school | 0.597
,,,,,,15021 | To encourage Neha Kumari to continue her education by motivating her parents and providing support | 0.8579
,,,,,,28809 | To educate Pinky Kumari till Intermediate | 0.7879
,,,,,,15476 | To persuade Muskan Kumari to continue her education | 0.7996
,,,,,,28810 | To help Soni continue her education | 0.7817
,,,,,,15057 | To educate Sanjana Kumari and help her complete her studies | 0.8679
,,,,,,16735 | To improve education for girls in Kasturia by encouraging them to continue their studies beyond primary level | 0.582
,,,,,,15066 | To educate Kusum Kumari and her mother about the importance of education | 0.842
,,,,,,15067 | To motivate Baby Kumari to continue her education and understand its importance for her future | 0.861
,,,,,,15149 | To educate Nisha Kumari who had to leave her studies after eighth grade due to financial constraints and her advanced age. | 0.8303
,,,,,,15126 | To encourage Nidhi Kumari to attend school and help her parents understand the importance of education | 0.8587
,,,,,,15141 | To educate Chanda about the importance of attending school and to convince her family to allow her to attend school regularly | 0.7412
,,,,,,15159 | To empower Reshma Kumari to pursue her education and overcome the obstacles that were preventing her from doing so | 0.8122
,,,,,,15170 | To empower Sanju Devi and improve her economic situation through skill development and education | 0.6531
,,,,,,15157 | To re-enroll Suman Kumari in school after her name was removed due to her temporary stay at her maternal home | 0.7527
,,,,,,15177 | To ensure Supriya Kumari attends school regularly and understands the importance of education | 0.8237
,,,,,,15224 | To support Chandni Kumari in continuing her education after a month-long absence from school due to health issues | 0.7769
,,,,,,15232 | To encourage Lakshmi Kumari to continue her education | 0.8514
,,,,,,15220 | To ensure Sarita completes her education and becomes self-reliant | 0.6429
,,,,,,15238 | To empower Muskan Kumari to continue her studies despite her parents' financial constraints | 0.735
,,,,,,15255 | To bring Karishma back to school | 0.5621
,,,,,,15327 | To enroll Kajal Kumari in school and ensure she attends regularly | 0.8466
,,,,,,6907 | To educate children till the age of 12th | 0.6191
,,,,,,15335 | To get Asha Kumari admitted in 9th standard | 0.6659
,,,,,,15064 | To educate Anu Kumari about the importance of education | 0.8065
,,,,,,4152 | To help Shivani continue her education | 0.7348
,,,,,,3981 | To help Sangeeta continue her education despite her family | 0.6827
,,,,,,4004 | To help Divya Kumari continue her education beyond 8th standard | 0.807
,,,,,,3966 | To help Firdaus Jahaan resume her studies after marriage and inspire other girls in the community to do the same | 0.7111
,,,,,,15357 | To support Ranju Kumari | 0.6143
,,,,,,15686 | To help Gudiya Tendu understand the importance of education and attend school regularly | 0.7238
,,,,,,15353 | To inspire Rani Kumari to continue her education and understand its importance for her future | 0.8262
,,,,,,15355 | To encourage Richa Kumari to attend school and support her education | 0.8878
,,,,,,4265 | To improve education in Chapra by addressing the issue of dropouts and encouraging girls to study till 12th grade | 0.5939
,,,,,,15350 | To convince Kareena Kumari | 0.6404
,,,,,,4397 | To help Sita Kumari continue her education despite household responsibilities | 0.8346
,,,,,,28998 | To help Anita Kumari resume her studies after failing in matriculation by providing her with coaching and convincing her parents of the importance of education | 0.8105
,,,,,,16511 | To support Amrita Kumari in continuing her education despite her family's financial struggles | 0.7922
,,,,,,5657 | To send boys and girls to school every day and marry them only after they pass 12th standard | 0.5545
,,,,,,16336 | To help Khushi understand the importance of education and attend school regularly | 0.6491
,,,,,,15158 | To encourage Pooja Kumari to continue her education | 0.8574
,,,,,,15180 | To help Anjali attend school by convincing her parents of the importance of education | 0.754
,,,,,,4109 | To empower Deepa Kumari through education and make her aware of her rights | 0.7854
,,,,,,"15268 | To motivate and support Rahisa Khatoon in pursuing her education, overcoming her fear and reluctance to study after failing matriculation. | 0.6761"
,,,,,,15271 | To persuade Kankshi Priya | 0.5369
,,,,,,15280 | To educate Preeti Kumari and her community about the benefits of government schools over private schools | 0.7708
,,,,,,15287 | To get Riya | 0.453
,,,,,,"15299 | Shobha did not want to study in class 11, but after meeting with her parents and being informed about the benefits of education, she decided to continue her studies. | 0.6073"
,,,,,,29005 | To educate Sneha Kumari at least till 12th grade | 0.769
