Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no aadhaar,no adhar,aadhar card not made,no birth certificate,lack of Aadhar card,no ID,no id proof,no legal document,no identity proof,enrollment barriers,admission refused,adhar,aadhaar,certificate not made,document pending,lack aadhar,having aadhar,birth certificate,unable study,Aadhaar card errors,date of birth missing,name mismatch,no birth date,birth certificate pending,enrollment blocked,documents not accepted,UID not made,government ID,aadhar errors,aadhaar update,not enrolled due to document,admission refused without document,no documents for school,identity not proven,date of birth not recorded,certificate not available,proper documentation,caste certificate,residence certificate,child registration,non enrolment,wrong name",Approved,130,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,40877 | To get an Aadhar card made and enroll in school | 0.8116
,,,,,,40883 | To improve education by enrolling students with Aadhaar cards | 0.8145
,,,,,,40887 | To enroll 22 children in school who did not have Aadhaar cards and were not enrolled in school due to various reasons | 0.8852
,,,,,,40968 | To help children get enrolled in school by making their Aadhar cards | 0.8858
,,,,,,"40992 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of parents being less educated and busy with labor work | 0.8671"
,,,,,,40996 | To ensure all children have Aadhar cards for school enrollment | 0.8823
,,,,,,40997 | To enroll four children in Primary School Pandey Prasav by making their Aadhar cards | 0.8055
,,,,,,41022 | To improve education by enrolling children in school through Aadhaar card registration | 0.854
,,,,,,"28574 | To facilitate the registration of Aadhaar cards for children in the community, addressing the issue of many children lacking this essential document | 0.8288"
,,,,,,41036 | To improve education by facilitating Aadhar card enrollment for students | 0.8113
,,,,,,41053 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,41086 | To solve the problem of Aadhar card enrollment for school students | 0.8384
,,,,,,41087 | To enroll in school by obtaining an Aadhar card through block and district level efforts | 0.8339
,,,,,,"41125 | To improve education by obtaining birth certificates and Aadhar cards for children, enabling them to enroll in higher secondary school | 0.8322"
,,,,,,"41129 | To improve education by ensuring children have birth certificates and Aadhar cards, enabling them to enroll in school | 0.8603"
,,,,,,41174 | To create Aadhaar cards for children in Mohaniya village to enable their enrollment in school | 0.8213
,,,,,,41187 | To improve education in rural Bihar by addressing the issue of non-enrolment due to lack of Aadhaar cards | 0.8036
,,,,,,"41211 | To ensure children in Deoria village have Aadhaar cards, enabling them to enroll in school | 0.8206"
,,,,,,41216 | To help children in the village of Dehliya get admission in school by obtaining Aadhaar cards | 0.8015
,,,,,,41218 | To help children enroll in school by correcting their Aadhar cards | 0.8638
,,,,,,41231 | To organize a camp for Aadhar card creation and facilitate school admissions for underprivileged children | 0.8154
,,,,,,41236 | To create Aadhar cards for children to enroll them in school and increase the number of children attending school | 0.8747
,,,,,,"41240 | To solve the problem of children not having Aadhaar cards, which was hindering their school enrollment | 0.8905"
,,,,,,"41282 | To spread awareness about the importance of birth certificates and Aadhaar cards in the community, ensuring timely enrollment of children in schools | 0.8142"
,,,,,,41292 | To solve the problem of dropping out of school after eighth grade due to issues with Aadhar cards | 0.8082
,,,,,,41319 | To ensure children can attend school by correcting errors in their Aadhaar cards | 0.8207
,,,,,,41340 | To improve school admission by addressing the issue of lack of Aadhar Card | 0.8647
,,,,,,"41352 | To enroll children in school by obtaining Aadhar cards for their parents, addressing the issue of lack of education due to poverty and misunderstanding of its importance | 0.892"
,,,,,,41357 | To increase school enrollment by resolving Aadhar card issues | 0.8616
,,,,,,41358 | To increase school enrollment by facilitating Aadhar card creation for children | 0.8904
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,41432 | To enroll children in school by obtaining Aadhaar cards and understanding the importance of education | 0.8475
,,,,,,"41441 | To help parents obtain Aadhar cards and birth certificates for their children, enabling them to enroll in school and access ration | 0.8246"
,,,,,,41454 | To ensure children can get enrolled in school by correcting errors in their Aadhaar cards | 0.8271
,,,,,,41459 | To enroll children in school who were unable to do so due to lack of Aadhaar | 0.8568
,,,,,,41465 | To enroll children in government schools by obtaining Aadhar cards | 0.8773
,,,,,,"41470 | To enroll children in school by obtaining Aadhar cards, ensuring access to government schemes and benefits | 0.8731"
,,,,,,41487 | To enroll children in school by obtaining birth certificates and Aadhar cards | 0.8628
,,,,,,"41509 | To help children in the village get their Aadhar cards made, which was necessary for their school admission | 0.8571"
,,,,,,"41510 | To enroll children in school by creating Aadhaar cards for them, addressing the issue of non-enrollment due to lack of Aadhaar cards | 0.8802"
,,,,,,"41511 | To facilitate the creation of Aadhar cards and birth certificates for children in rural areas, enabling them to access education and government benefits | 0.8078"
,,,,,,"41534 | To improve school enrollment by correcting Aadhaar cards for children in Maha Dalit Tola, addressing the issue of lack of awareness and ensuring access to education | 0.8233"
,,,,,,41541 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children | 0.8211
,,,,,,41546 | To create Aadhaar cards for children and enroll them in school | 0.8282
,,,,,,48900 | To enroll children in school who were deprived of education due to lack of Aadhaar and birth certificate | 0.8283
,,,,,,48891 | To help children get Aadhar cards so they can attend school | 0.8596
,,,,,,48942 | To improve school attendance by facilitating Aadhar registration for school kids | 0.8398
,,,,,,48970 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,48983 | To resolve Aadhar card errors and increase school enrollment | 0.8125
,,,,,,"48999 | To enroll children in school by obtaining Aadhar cards for those who lacked them, addressing the issue of poverty and lack of awareness | 0.8986"
,,,,,,49012 | To help a child get an Aadhar card and enroll in school by providing necessary documentation and support | 0.8372
,,,,,,49015 | To help children get enrolled in school by obtaining birth certificates and Aadhar cards | 0.8617
,,,,,,"49016 | To facilitate school enrollment by obtaining Aadhar cards for children, addressing the issue of lack of identification and access to education | 0.8946"
,,,,,,3933 | To address the lack of information in education by enrolling children in school and providing Aadhaar cards | 0.8674
,,,,,,4284 | To enroll children in school and provide them with government facilities by obtaining Aadhaar cards | 0.8316
,,,,,,6115 | To ensure all children can enroll in school by obtaining Aadhaar cards with the help of ward number 8 | 0.8304
,,,,,,10087 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,15041 | To get an Aadhar card for the child | 0.8597
,,,,,,29181 | To create awareness about the importance of education and the need for Aadhar cards and birth certificates for school enrollment | 0.8174
,,,,,,15062 | To facilitate school enrollment by assisting parents in obtaining Aadhaar cards for their children | 0.8357
,,,,,,10383 | To ensure all students have their Aadhaar cards made to access educational benefits | 0.8005
,,,,,,15128 | To help a child enroll in school by correcting the wrong age on their Aadhaar card | 0.8034
,,,,,,29457 | To educate children about the importance of having an Aadhar card and to help them obtain one | 0.8285
,,,,,,18199 | To address the issue of children being unable to access higher education due to poverty and errors in important documents like Aadhar cards | 0.8155
,,,,,,15123 | To help underprivileged children obtain necessary documents like Aadhar cards and birth certificates to enroll in school | 0.8008
,,,,,,"28997 | To improve access to education for children in rural Bihar by facilitating the creation of birth certificates and Aadhar cards, thereby enabling them to enroll in school. | 0.8"
,,,,,,7653 | To enroll children in school by obtaining Aadhar cards for them | 0.8955
,,,,,,4251 | To enroll children in school by obtaining Aadhaar cards for them | 0.8765
,,,,,,19715 | To solve the problem of children not having Aadhaar cards | 0.9171
,,,,,,29209 | To help children enroll in school by obtaining their Aadhar cards | 0.8891
,,,,,,15274 | To help a child get an Aadhar card so they can attend school | 0.8479
,,,,,,15275 | To facilitate school admission by helping parents obtain Aadhar cards for their children | 0.8543
,,,,,,29001 | To educate the community about the importance of Aadhaar cards for children and to help them get enrolled in school | 0.8098
,,,,,,29007 | To help children get admission in school by making Aadhar cards | 0.8746
,,,,,,29010 | To resolve the issue of children not being enrolled in school due to Aadhaar card problems | 0.9019
,,,,,,29011 | To improve school attendance by addressing the issue of lack of Aadhar cards | 0.8703
,,,,,,28848 | To get the Aadhar card made for her child to enable enrollment in school | 0.819
,,,,,,28849 | To solve the problem of not being enrolled in school due to lack of Aadhar card | 0.8688
,,,,,,28852 | To get an Aadhar card made | 0.8178
,,,,,,29016 | To improve education by spreading awareness about the importance of Aadhar cards and encouraging regular school attendance | 0.8082
,,,,,,"29023 | To ensure every child in the village has an Aadhar card, which is essential for accessing school benefits | 0.8421"
,,,,,,"17684 | To facilitate school admission by ensuring all children have an Aadhaar card, addressing the issue of lack of identification documents | 0.8799"
,,,,,,4119 | To help 9 children get admitted to school by creating their Aadhar cards | 0.854
,,,,,,"16957 | To facilitate Aadhar card enrollment for underprivileged children, addressing the issue of lack of identification and access to education | 0.8653"
,,,,,,15219 | To help a child get admission in school by obtaining an Aadhar card and birth certificate | 0.8029
,,,,,,15273 | To facilitate school enrollment by assisting children and parents in obtaining Aadhar cards | 0.8786
,,,,,,4116 | To help children get their Aadhar cards corrected and enrolled in school | 0.8622
,,,,,,3965 | To facilitate school admission for children without Aadhar cards by creating the necessary documents and providing support to their parents. | 0.8207
,,,,,,"3921 | To enroll children in school by obtaining Aadhar cards, ensuring access to education and government facilities | 0.8841"
,,,,,,3932 | To help children get enrolled and receive government benefits by making Aadhaar cards | 0.809
,,,,,,20962 | To correct names in Aadhar cards to enable children to get admitted to school and receive education | 0.8023
,,,,,,15359 | To enable children to attend school by obtaining an Aadhar card | 0.8851
,,,,,,28427 | To facilitate school admission and government scheme benefits by generating Aadhar cards for students | 0.818
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9093
,,,,,,28473 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,29271 | To help children get Aadhar cards so they can get admission to school | 0.8685
,,,,,,29707 | To improve education by ensuring children have Aadhar cards and attend school regularly | 0.8638
,,,,,,"30968 | To improve education by helping students obtain Aadhaar cards, which are required for school enrollment | 0.8315"
,,,,,,"30858 | To address the issue of children dropping out of school due to lack of Aadhaar card and date of birth, and to promote education as a means to prevent child labour and child marriage | 0.8022"
,,,,,,31774 | To ensure all children have Aadhar cards and birth certificates to facilitate their education | 0.8311
,,,,,,40497 | To enroll 17 children without Aadhaar cards in school and ensure they receive education | 0.8676
,,,,,,40397 | To enroll children in school and provide them with necessary documents like Aadhar card and birth certificate | 0.8244
,,,,,,32178 | To enable children to attend school by obtaining necessary documents such as birth certificates and Aadhaar cards | 0.8035
,,,,,,40468 | To improve regular school attendance by addressing the issue of missing Aadhaar cards | 0.8259
,,,,,,"30869 | To ensure all children have access to education by facilitating the acquisition of Aadhaar cards, which are necessary for school admission | 0.8582"
,,,,,,31045 | To increase school enrollment by addressing the issue of Aadhar card requirements | 0.8747
550e8400-e29b-41d4-a716-446655440005,Parental Attitudes and Socio-Cultural Barriers,"This theme captures responses where parental beliefs, family mindsets, and cultural norms discourage girls from attending school. It includes attitudes such as prioritizing domestic roles for girls, believing education is unnecessary for them, concerns about dowry increasing with higher education, or long-standing traditions that limit girls' mobility and learning opportunities. These socio-cultural factors collectively shape decisions that keep girls out of school.","Discrimination,cultural beliefs,social pressure,not allowed,marriage,dowry,take care of siblings,girls do not need to study,girls run away,speak foul language,purdah,burkha,ghoonghat,caste,Dalit,SC ST,gender discrimination,religious restriction,much dowry,self esteem,lack role model,where will,after studying,villagers here,girls not allowed to go out,boys prioritized,gender inequality,girls restricted,girls kept at home,community norms,village tradition,conservative family,religious restrictions for girls,girls no need to study,girls should stay home,family honor at stake,girls not permitted,purdah system,women seclusion,girls education waste,cook food,become officer,role models,educational aspirations,urdu medium,what will she do,housework,no son,daughter burden,speech weak,mother tongue",Approved,12,"41602 | To solve the problem of lack of Aadhaar card and birth certificate, which was preventing the girls from getting admission in school. | 0.8768"
,,,,,,41220 | To help a girl get admitted to school by assisting with her Aadhar card issue | 0.8151
,,,,,,41521 | To make an Aadhar card for a girl who was unable to go to school due to lack of Aadhar card | 0.8577
,,,,,,"16452 | To enroll girls in school who were not attending due to lack of Aadhaar cards, by educating parents on the importance of education and providing support for Aadhaar card creation. | 0.8625"
,,,,,,"16595 | To improve education by ensuring all girls have an Aadhar card, which is necessary for school admission | 0.836"
,,,,,,15036 | To ensure girls' education is not disrupted due to lack of Aadhaar card | 0.9191
,,,,,,"15051 | To enroll a girl in school by obtaining an Aadhar card, as lack of Aadhar card was a barrier to her education | 0.8804"
,,,,,,15264 | To help a girl get her Aadhaar card made so she can be enrolled in school | 0.8392
,,,,,,"15337 | To enroll a girl in school by obtaining an Aadhar card, which was a requirement for admission | 0.854"
,,,,,,5391 | To help girls obtain Aadhaar cards and encourage their education | 0.8112
,,,,,,28892 | To help a girl enroll in school by getting her Aadhaar card updated | 0.8545
,,,,,,5056 | To empower girls through education by addressing the issue of gender discrimination and household responsibilities | 0.8158
550e8400-e29b-41d4-a716-446655440003,Early Marriage,"This theme captures responses where child marriage or early marriage prevents girls from continuing their education. It includes situations where early marriage leads to school dropout, limits learning opportunities, or shifts responsibilities toward household duties instead of schooling.","Child marriage,marriage,early marriage,shadi,vivah,baal vivah,underage marriage,married off,got married young,left school after marriage,nikah,banning child marriage,marriage girls,run away,ban child marriage,married after,girls should,preventing child marriage,marriage before 18,underage marriage,minor married,married in childhood,marriage at 14,marriage at 15,married before school complete,dropout after marriage,forced to marry,marriage arranged young,married off early,engagement of minor,nikah at young age,early nikah,married off daughters early,girls withdrawn for marriage,marry after 18,married class 8, adolescent marriage,forced marriage",Approved,11,28535 | To encourage girls to pursue education and prevent child marriage | 0.8045
,,,,,,40885 | To educate parents about the importance of education and prevent child marriage | 0.8056
,,,,,,5905 | To address the issue of child marriage and encourage girls to stay in school | 0.8021
,,,,,,28629 | To educate girls about the importance of education and the disadvantages of early marriage | 0.8074
,,,,,,49009 | To stop child marriage and promote education for girls | 0.8177
,,,,,,10437 | To stop child marriage and promote education | 0.8296
,,,,,,18242 | To improve education by engaging the community and stopping child marriage | 0.8002
,,,,,,7792 | To stop child marriage and promote girls' education | 0.8264
,,,,,,17293 | To stop child marriage and promote education | 0.8296
,,,,,,40256 | To stop child marriage and encourage education | 0.852
,,,,,,31085 | To stop child marriage through education and awareness | 0.8188
550e8400-e29b-41d4-a716-446655440009,Substance Abuse and Addiction,"This theme captures responses where children's education is affected by alcohol or drug use within the family or community, as well as issues like gambling or addiction to online games. These problems create unstable home environments, distract children from studies, and contribute to irregular attendance or dropout.","Addiction,Addicted,Alcohol,Drugs,Alcoholism,online games,mobile phones,Gambling,sharab,daru,nasha,ganja,drunk father,mobile addiction,drinking problem,alcohol addiction,use mobile,online gaming,using mobile,children mobile phones,father drinks,husband alcohol,drunk parent,neglect due to alcohol,drug use in community,gutka,tobacco addiction,mobile gaming addiction,smartphone overuse,screen time excessive,children watch videos all day,internet addiction,children distracted by phone,online gaming harm,alcoholic parent neglect,drunkard father,marijuana",Approved,3,48 | Improve school infrastructure and reduce drug addiction among students | 0.8072
,,,,,,41405 | To educate children about traditional games and reduce their dependence on mobile phones | 0.8226
,,,,,,48984 | To reduce the time children spend playing games on mobile phones and increase their interest in physical activities and reading | 0.8179
550e8400-e29b-41d4-a716-446655440006,School Infrastructure and Facility Issues,"This theme captures responses highlighting gaps in school facilities and infrastructure gaps. It includes issues such as inadequate classrooms, lack of basic amenities, insufficient learning resources, as well as delays, inconsistencies, or limited access to government schemes. Together, these systemic gaps reduce the attractiveness and effectiveness of schooling for children and families.","No clean water,toilets,mid day meal,scholarships,playgrounds,classrooms,pads,hygiene,books,uniforms,government schemes,sanitation,infrastructure,clean,cleanliness,no library,shortage of books,basic facilities,no electricity,no fan,PM Poshan,MDM,scholarship not received,hot meals,drinking water,reading corner,environment around school,conducive learning,well being,no toilet for girls,broken toilet,no drinking water in school,no separate toilet,no library,school building broken,no electricity in school,no blackboard,books not given on time,uniform not distributed,mid-day meal stopped,bad quality food,MDM irregularly provided,no playground,no boundary wall school,school not child friendly,compound system,play materials,water tank,coaching centre,special needs,anganwadi center,kasturba vidyalaya,upper primary school,disabled child,seating arrangement,menstruation facilities,reading interest,extracurricular",Approved,2,11 | Improve school toilet conditions | 0.8149
,,,,,,10 | Improve school toilets | 0.8533
550e8400-e29b-41d4-a716-446655440007,Teacher Capacity and Quality Issues,"This theme covers responses highlighting challenges related to insufficient teachers or concerns about teaching quality. It includes issues such as vacant positions, irregular teacher attendance, overburdened staff, and gaps in subject knowledge or pedagogy. These factors affect the learning environment and reduce children's motivation to attend school regularly.","Shortage,quality issue,teacher not on time,dont pay attention,slow learning progress,academic progress,lack in academics,Lack of english education,para teacher,shiksha mitra,single teacher,teacher absent,no subject teacher,election duty,teacher vacancy,learning progress,english medium,illiterate parents,children learning,teacher transfer,frequent teacher change,teacher absent regularly,no subject-wise teacher,no trained teacher,multi-grade teaching,overcrowded classroom,children not learning,reading not improved,numeracy weak,teacher on election duty,teacher not attentive,no English teacher,poor teaching quality,children learning slow,learning english,kasturba gandhi,struck off,rural areas,digital divide,internet access,english learning,government schools,subject recruitment,tola sevak",Approved,1,29218 | To solve the problem of children not attending school due to parental negligence | 0.8884
550e8400-e29b-41d4-a716-446655440004,Distance and Accessibility Issues,"This theme captures challenges that prevent children from attending school due to physical and environmental conditions. It includes long distances to school, poor road or transport infrastructure, and difficulties caused by weather or seasonal factors (such as heavy rains, heat, or floods). These conditions make daily travel to school inconvenient, unreliable, or physically demanding for children.","school is far,distance of school,no bus,lack of transportation,no road,roads are bad,no school in village,rain,hot,heat,sun,has to walk a lot,long distances,no clean roads,flood,waterlogged,muddy road,no transport facility,remote village,far away,school far,very far,long distance walk,cycle not provided,bicycle for girls,no vehicle,long walk,remote area,school far from village,bad road condition,unpaved road,seasonal flooding,monsoon rain,extreme heat walking,rough terrain,hilly area,no public transport,inaccessible village,bad weather attendance,transportation system,gram panchayat road,no high school",Approved,0,
550e8400-e29b-41d4-a716-446655440008,Safety Concerns,"This theme includes responses where children's school attendance is affected by worries related to their overall safety and security. It covers issues such as unsafe routes, harassment, or any situation that makes families feel that the environment around schooling is not secure enough for children to travel or attend regularly.","Harassment,molestation,eve-teasing,tease,violence,environment around house,house surroundings,no boundary wall,unsafe path,caste harassment,bullying,unsafe for girls,no street light,deserted road,domestic violence,public places,child safety,safety public,gender-based violence,violence against women,accident on road,stray animals danger,dark road at night,no street lighting,unsafe playground,physical abuse at school,corporal punishment,girls followed,bad elements near school,crime near school,children not safe traveling,sexual harassment fear,teasing on route,no police protection,unsafe area for girls,eve teasing,molested,flirting,miscreants,drunk public,school vandalism,unsafe routes",Approved,0,
550e8400-e29b-41d4-a716-446655440001,Poverty and Economic Barriers,"This theme captures insights where families link irregular school attendance or dropouts to financial hardship. It includes responses describing how poverty forces children to prioritize work over education, how households depend on children's income for survival, and how limited resources—such as inability to afford uniforms, books, or transport—become barriers to schooling.","Poor,no money,lack of money,financial constraints,child labour,economic constraint,unemployment,financial difficulties,no fees,school fees,can't afford,daily wage,labourer,cannot buy books,no money for uniform,financial problems,poor economic condition,economic condition,education hampered,family affect,child labour,no money for fees,cannot afford school,daily wage family,BPL family,landless family,no stable income,food insecurity,school dress not affordable,no money for travel,scholarship not received,deprived community,tribal poverty,wage labor family,farm labor family,migrant labor family,sending children to work,child labor poverty,cannot afford books,financial condition,household chores,brick kiln,graze goats,earn living,enough money,failed matriculation,uniform dress,scholarship hostel,migrant workers,seasonal work,goat herding,kiln work",Approved,0,
,Facilitating Educational Attainment and Continuation,"This theme encompasses initiatives aimed at enabling individuals, particularly girls and young women, to access, continue, and complete their educational journeys. It addresses barriers such as financial constraints, parental persuasion, and logistical challenges, with the overarching goal of promoting sustained learning and academic progression.","educational access,student support,overcoming barriers,academic continuation,girl's education,financial aid,persuasion,resumption of studies",Draft,374,28513 | To encourage Ritika to pursue further studies | 0.5678
,,,,,,28632 | To help Anita Kumari pursue further studies despite her poor financial condition | 0.6968
,,,,,,28633 | To empower Madhu Kumari to pursue her education despite financial constraints by explaining the benefits of scholarships and community support | 0.8108
,,,,,,28655 | To improve education for teenage girls by encouraging them to complete their studies till class 12 | 0.6702
,,,,,,40510 | To educate Rinki Kumari till 12th standard | 0.7412
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.6499
,,,,,,4239 | To educate Renu Devi | 0.6435
,,,,,,28597 | To ensure Gudiya Kumari receives an education by convincing her parents of its importance | 0.8337
,,,,,,28522 | To educate Chanda Kumari further | 0.8259
,,,,,,15374 | To bring Sita Kumari back to school by convincing her family and arranging a bicycle for her | 0.738
,,,,,,28658 | To help Sweety Kumari take her exam and continue her education | 0.8436
,,,,,,28639 | To encourage Kusum to continue her studies despite financial difficulties | 0.622
,,,,,,28542 | To encourage Riya Kumari | 0.731
,,,,,,28547 | To support Kamini Kumari in resuming her studies | 0.7659
,,,,,,15118 | To educate Rupa further | 0.5895
,,,,,,15491 | To help Khushi Kumari attend school regularly | 0.8438
,,,,,,28555 | To enroll Meenakshi in school after she dropped out | 0.6201
,,,,,,28644 | To encourage Rekha Kumari to continue her education after failing in matriculation | 0.7845
,,,,,,15179 | To encourage Rupa Kumari to continue her education and create awareness about education in her community | 0.8529
,,,,,,29237 | To educate Kavita and support her in her studies | 0.6834
,,,,,,15168 | To convince Pooja Kumari and her parents to continue her education | 0.8479
,,,,,,40563 | To educate Neha Kumari and empower her to shape her future | 0.81
,,,,,,41568 | To educate Deepa Kumari | 0.7726
,,,,,,41561 | To help Savita Kumari continue her education | 0.8703
,,,,,,40573 | To educate Anshu Kumari and raise awareness about the importance of education in the community | 0.737
,,,,,,40574 | To help Anushka get enrolled in Kasturba and ensure her education | 0.6611
,,,,,,40575 | To educate Rizwana Khatoon after her parents | 0.6238
,,,,,,40578 | To enroll Pratima Kumari in Kasturba Vidyalaya after her name was removed from school due to living outside | 0.713
,,,,,,28561 | To encourage Rinku Kumari to continue her education | 0.8587
,,,,,,40581 | To enroll Kirti Kumari in school | 0.7921
,,,,,,41589 | To get Priya Kumari admitted to class 12 | 0.706
,,,,,,40583 | To re-enroll Sameeksha Kumari in school and encourage her to continue her education | 0.8583
,,,,,,40584 | To help Renu Kumari get enrolled in school again and continue her education | 0.8922
,,,,,,40589 | To help Shivani Kumari continue her studies | 0.8015
,,,,,,41598 | To help Amrita Kumari pursue further education despite her father's alcoholic nature | 0.6948
,,,,,,40601 | To help Arvind Kumar get enrolled in school by making his mother aware that admission in government school is free | 0.7473
,,,,,,40602 | To educate Preeti Kumari and make her self-dependent | 0.8288
,,,,,,40603 | To enroll Nandini Kumari in Kasturba Vidyalaya | 0.6523
,,,,,,41627 | To get Devanti Devi's daughter-in-law admitted in Intermediate | 0.5546
,,,,,,40614 | To bring Suraj Kumar back to school and provide him with a proper education | 0.7468
,,,,,,40616 | To create awareness about education and enroll Diksha Kumari in school | 0.7597
,,,,,,40623 | To enroll Jhumki in school | 0.5229
,,,,,,15753 | To help a poor girl get education by admitting her to Kasturba school | 0.7246
,,,,,,28566 | To convince Chandrawati Kumari to continue her studies after her mother | 0.7552
,,,,,,41666 | To encourage Shabnam Parveen to continue her education | 0.5509
,,,,,,41668 | To educate Razia Begum and help her parents understand the importance of education | 0.5802
,,,,,,41669 | To help Priyanshu Kumari understand the importance of education and get her enrolled in Kasturba Vidyalaya | 0.8411
,,,,,,41673 | To improve education in Manjhi Tola by enrolling Nisha Kumari in Kasturba Vidyalaya and raising awareness about the importance of education | 0.7298
,,,,,,40656 | To educate Muskan Kumari and other girls in the community | 0.7388
,,,,,,4015 | Helping Kishori attend school regularly | 0.5785
,,,,,,14991 | To help Kajal continue her education | 0.7566
,,,,,,40695 | To empower Anjali through education and make her self-reliant | 0.6468
,,,,,,"40710 | To ensure that Nidhi Kumari receives her transfer certificate without paying any bribe, by educating her parents about the free transfer certificate policy and providing them with support and resources to navigate the situation. | 0.6494"
,,,,,,40711 | To enroll Radha Kumari in school and encourage other parents to do the same | 0.7815
,,,,,,40713 | To get Kamini Kumari enrolled in school and create an educational environment in her community | 0.8226
,,,,,,28432 | To educate Chhoti Kumari further by informing her parents about government schemes and scholarships | 0.8289
,,,,,,40817 | To enroll Radha Kumari in Kasturba Vidyalaya | 0.6675
,,,,,,40819 | To enroll Chhoti Kumari in Kasturba Vidyalaya and encourage her to pursue her education | 0.7897
,,,,,,40822 | To help Reena Kumari and other children in the community attend school regularly and complete their education | 0.8023
,,,,,,40829 | To enroll Khushi Kumari in school | 0.8212
,,,,,,40831 | To educate Anjani Kumari and other girls in the village | 0.7664
,,,,,,40837 | To encourage Geetanjali to continue her studies | 0.6076
,,,,,,40839 | To encourage Shivani Kumari to continue her education and inspire other girls in the community to do the same | 0.8319
